groupe_code,groupe_libelle_court,deputies,average_dim1,median_dim1,min_dim1,max_dim1
FI,FI,17,-0.3039413310720193,-0.3023254494998014,-0.3676111456513912,-0.2391716453244516
GDR,GDR,17,-0.18743547323012488,-0.1855025815695199,-0.3138975397803151,-0.0648835700369113
SOC,SOC,34,-0.1302443885631133,-0.13397179309085627,-0.1976368369378599,-0.068113408909281
NG,NG,3,-0.0882563730471898,-0.0814574579369392,-0.1408928769410794,-0.0424187842635508
LT,LT,17,-0.0037758747784340575,-0.0316183475607867,-0.0765339651449738,0.1381972921543162
LAREM,LaREM,332,0.03018095026229983,0.03455623888010375,-0.1330535643417702,0.1204874408786106
MODEM,MODEM,44,0.06252495677078461,0.0688356648797595,0.0021422317853019,0.108081765119145
DEM,Dem,8,0.07644385559175915,0.08035589017361405,0.0392476527255359,0.1069084110152042
AGIR-E,Agir ens,9,0.07826253731717941,0.0921707434397009,-0.0089880898254741,0.1343335656584027
UDI-AGIR,UDI-AGIR,11,0.09621122747023007,0.099238828586561,0.0296484149916403,0.1904041723010008
NI,NI,14,0.10927242546066714,0.11605350407105615,-0.1374905845438616,0.2685522421159935
UDI_I,UDI-AGIR,3,0.11511804410702846,0.1109182733842701,0.0732776073578027,0.1611582515790126
UDI_I,UDI-I,9,0.12415226531411665,0.1307950194339565,0.062147017475719,0.1971698746957604
AGIR-E,UDI-AGIR,3,0.1281358366592651,0.1360720318090988,0.1014572576335227,0.1468782205351738
LR,LR,119,0.2955207245636544,0.2916660704454119,0.1300124704922456,0.4638406157959808
